ID,Chiku,遺跡番号,調査番号,遺物番号,No,S,V,H,X,Y,Z,Date,Pen,Size,Mark,FileLink,Soui,Syubetu,拡張表示使用,拡張線幅,拡張線色,拡張点色,レイヤー名,MARKERX,MARKERY,LAYERPAGE,INVISIBLE,DELETEFLG,HANDFLG,器械点,バック点,器械高,ミラー高,メディア
132,SK242A',,,,,,,,-137198.331,102130.132,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
133,SK243A,,,,,,,,-137201.118,102123.545,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
134,SK243A',,,,,,,,-137200.544,102122.137,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
135,SK244A,,,,,,,,-137196.794,102119.903,2.465,,1,1.000,1,,2-3,,False,,,0,1               ,0,0,0,False,False,False,,,,,
136,SK244A',,,,,,,,-137194.374,102119.756,2.533,,1,1.000,1,,2-3,,False,,,0,1               ,0,0,0,False,False,False,,,,,
137,SK601A,,,,,,,,-137183.889,102128.665,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
138,SK601A',,,,,,,,-137183.823,102126.972,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
139,SK603A,,,,,,,,-137189.138,102126.748,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
140,SK603A',,,,,,,,-137189.978,102127.403,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
141,SK606A,,,,,,,,-137188.781,102120.070,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
142,SK606A',,,,,,,,-137187.499,102120.935,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
143,SK607A,,,,,,,,-137181.489,102119.684,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
144,SK607A',,,,,,,,-137182.589,102118.834,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
145,SK609・SK610,,,,,,,,-137185.843,102111.808,2.465,,1,1.000,1,,2-2,・SK611A,False,,,0,1               ,0,0,0,False,False,False,,,,,
146,SK609・SK610,,,,,,,,-137183.317,102113.850,2.533,,1,1.000,1,,2-2,・SK611A',False,,,0,1               ,0,0,0,False,False,False,,,,,
147,SK613A,,,,,,,,-137189.108,102112.424,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
148,SK613A',,,,,,,,-137188.277,102111.511,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
149,SK614A,,,,,,,,-137183.762,102110.875,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
150,SK614A',,,,,,,,-137182.744,102111.774,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
151,SK615A,,,,,,,,-137178.042,102118.694,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
152,SK615A',,,,,,,,-137177.387,102117.687,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
153,SK616A,,,,,,,,-137179.071,102119.321,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
154,SK616A',,,,,,,,-137177.975,102118.756,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
155,SK617A,,,,,,,,-137189.932,102132.040,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
156,SK617A',,,,,,,,-137191.273,102131.147,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
157,SK618・SK619A,,,,,,,,-137182.448,102117.850,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
158,SK618・SK619A',,,,,,,,-137181.201,102116.137,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
159,SK620A,,,,,,,,-137175.842,102124.375,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
160,SK620A',,,,,,,,-137176.791,102125.675,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
161,SX203A,,,,,,,,-137186.067,102104.023,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
162,SX203A',,,,,,,,-137188.764,102104.039,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
163,SX204A,,,,,,,,-137191.584,102102.896,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
164,SX204A',,,,,,,,-137190.364,102102.632,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
165,SX205A,,,,,,,,-137191.243,102102.149,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
166,SX205A',,,,,,,,-137191.947,102101.463,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
167,SX206A,,,,,,,,-137194.387,102104.094,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
168,SX206A',,,,,,,,-137195.079,102103.047,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
169,SX208A,,,,,,,,-137200.328,102107.870,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
170,SX208A',,,,,,,,-137199.418,102109.512,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
171,SX209A,,,,,,,,-137195.714,102130.536,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
172,SX209A',,,,,,,,-137199.644,102129.267,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
173,SX211A,,,,,,,,-137193.878,102124.802,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
174,SX211A',,,,,,,,-137193.904,102123.576,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
175,SX212A,,,,,,,,-137178.773,102097.572,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
176,SX212A',,,,,,,,-137179.171,102098.883,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
177,SX601A,,,,,,,,-137189.078,102115.893,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
178,SX606A',,,,,,,,-137187.282,102117.831,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
179,LV-2213,,,,,,,,-137205.551,102104.152,2.035,,1,1.000,4,,2-1,,False,,,0,1               ,0,0,0,False,False,False,,,,,
180,LV-2214,,,,,,,,-137205.288,102104.415,2.117,,1,1.000,4,,2-1,,False,,,0,1               ,0,0,0,False,False,False,,,,,
181,LV-2215,,,,,,,,-137161.969,102095.757,2.101,,1,1.000,4,,2-1,,False,,,0,1               ,0,0,0,False,False,False,,,,,
182,LV-2216,,,,,,,,-137161.680,102096.062,2.108,,1,1.000,4,,2-1,,False,,,0,1               ,0,0,0,False,False,False,,,,,
183,LV-2217,,,,,,,,-137201.212,102123.055,2.072,,1,1.000,4,,2-1,,False,,,0,1               ,0,0,0,False,False,False,,,,,
184,LV-2218,,,,,,,,-137181.856,102103.053,2.320,,1,1.000,4,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
